         455364325 function calls (455357937 primitive calls) in 1357.263 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      211    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HASH' objects}
      422    0.000    0.000    0.000    0.000 {built-in method binascii.b2a_hex}
      104    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
      358    0.000    0.000    0.000    0.000 contextlib.py:59(__init__)
      211    0.000    0.000    0.002    0.000 session.py:169(utcnow)
      101    0.000    0.000    0.001    0.000 widget_int.py:95(_validate_value)
      211    0.000    0.000    0.001    0.000 session.py:739(<listcomp>)
  254/246    0.000    0.000    0.161    0.001 traitlets.py:576(__set__)
      202    0.000    0.000    0.092    0.000 comm.py:118(send)
      399    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
      358    0.000    0.000    0.001    0.000 contextlib.py:85(__exit__)
        1    0.000    0.000 1357.263 1357.263 {built-in method builtins.exec}
      223    0.000    0.000    0.000    0.000 iostream.py:93(_event_pipe)
      211    0.000    0.000    0.003    0.000 session.py:236(msg_header)
      479    0.000    0.000    0.000    0.000 bunch.py:11(__getattr__)
      844    0.000    0.000    0.001    0.000 hmac.py:90(update)
      104    0.000    0.000    0.001    0.000 _tqdm.py:101(release)
      211    0.000    0.000    0.001    0.000 hmac.py:108(_current)
      211    0.000    0.000    0.011    0.000 iostream.py:207(send_multipart)
     1427    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      716    0.000    0.000    0.001    0.000 {built-in method builtins.next}
      212    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      211    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
      358    0.000    0.000    0.001    0.000 contextlib.py:157(helper)
      211    0.000    0.000    0.001    0.000 hmac.py:127(hexdigest)
      422    0.000    0.000    0.000    0.000 jsonutil.py:34(_ensure_tzinfo)
     1362    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      225    0.000    0.000    0.001    0.000 threading.py:1062(_wait_for_tstate_lock)
      210    0.000    0.000    0.001    0.000 widget.py:117(_remove_buffers)
      211    0.000    0.000    0.018    0.000 session.py:509(msg_id)
      101    0.000    0.000    0.001    0.000 traitlets.py:904(__call__)
      662    0.000    0.000    0.000    0.000 traitlets.py:1047(cross_validation_lock)
     1124    0.000    0.000    0.000    0.000 traitlets.py:911(__get__)
      101    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      120    0.000    0.000    0.002    0.000 traitlets.py:1690(instance_init)
      211    0.000    0.000    0.000    0.000 session.py:242(extract_header)
      211    0.000    0.000    0.000    0.000 py3compat.py:19(encode)
      106    0.000    0.000    0.000    0.000 traitlets.py:1877(validate)
      198    0.000    0.000    0.000    0.000 traitlets.py:2045(validate)
      104    0.000    0.000    0.002    0.000 _tqdm.py:105(__enter__)
      106    0.000    0.000    0.000    0.000 traitlets.py:1832(_validate_bounds)
      101    0.000    0.000    0.000    0.000 __init__.py:12(escape)
      402    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
      101    0.000    0.000    0.171    0.002 _tqdm_notebook.py:199(__iter__)
      358    0.000    0.000    0.000    0.000 contextlib.py:79(__enter__)
      231    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x107d8e750}
      104    0.000    0.000    0.001    0.000 _tqdm.py:108(__exit__)
      302    0.000    0.000    0.000    0.000 {built-in method time.time}
       54    0.000    0.000    0.000    0.000 traitlets.py:1067(hold_trait_notifications)
      104    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
      210    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      226    0.000    0.000    0.000    0.000 threading.py:506(is_set)
       14    0.000    0.000    0.002    0.000 widget.py:731(_repr_keys)
      104    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      479    0.000    0.000    0.000    0.000 {method '__getitem__' of 'dict' objects}
      213    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       19    0.000    0.000    0.001    0.000 traitlets.py:988(__init__)
      211    0.000    0.000    0.000    0.000 tz.py:69(utcoffset)
      217    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
      225    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      321    0.000    0.000    0.000    0.000 traitlets.py:215(__init__)
      8/3    0.000    0.000    0.019    0.006 widget.py:424(open)
      214    0.000    0.000    0.000    0.000 jsonutil.py:177(<listcomp>)
      321    0.000    0.000    0.000    0.000 traitlets.py:216(__call__)
      120    0.000    0.000    0.000    0.000 traitlets.py:1694(_resolve_classes)
       94    0.000    0.000    0.000    0.000 widget.py:522(_compare)
       19    0.000    0.000    0.008    0.000 traitlets.py:950(__new__)
        8    0.000    0.000    0.000    0.000 uuid.py:621(uuid4)
      202    0.000    0.000    0.000    0.000 _tqdm_notebook.py:232(moveto)
      349    0.000    0.000    0.000    0.000 widget.py:692(_trait_to_json)
       35    0.000    0.000    0.000    0.000 traitlets.py:1698(make_dynamic_default)
        8    0.000    0.000    0.005    0.001 comm.py:80(open)
       19    0.000    0.000    0.008    0.000 traitlets.py:982(setup_instance)
        8    0.000    0.000    0.002    0.000 configurable.py:131(_load_config)
        8    0.000    0.000    0.000    0.000 uuid.py:106(__init__)
      188    0.000    0.000    0.000    0.000 widget.py:519(_is_numpy)
        1    0.000    0.000    0.000    0.000 _tqdm.py:641(__init__)
       23    0.000    0.000    0.000    0.000 traitlets.py:2264(instance_init)
